s2id,latitude,longitude,label,sublabel,iso3
31da0485,1.2596870515701719,103.6921838250164,SINGAPORE,,SGP
31d9f813,1.1670159419579909,103.70994609500384,SINGAPORE,,SGP
31da066d,1.3067583669684686,103.62042886131161,SINGAPORE,,SGP
31da0447,1.2767100145185606,103.66342755329912,SINGAPORE,,SGP
31da22f1,1.2955925693546135,103.94621790416542,SINGAPORE,,SGP
31da0299,1.1848143959915456,103.70311691195282,SINGAPORE,,SGP
31da18f7,1.2844353740667684,103.88510299598835,SINGAPORE,,SGP
31da3b87,1.371220383280993,104.00801738500277,SINGAPORE,,SGP
31da3a9b,1.3499225994215747,104.09074456203768,SINGAPORE,,SGP
31da3baf,1.369424042962142,104.04677118840422,SINGAPORE,,SGP
31da0329,1.2178576660880203,103.72034941752297,SINGAPORE,,SGP
31da3ba5,1.3702224047368816,104.04031949254157,SINGAPORE,,SGP
31d9f805,1.1703669912040739,103.718459982065,SINGAPORE,,SGP
31d0aa2d,1.2477379302418763,103.50131458333145,SINGAPORE,,SGP
31da089d,1.3287028862434764,103.60542413525384,SINGAPORE,,SGP
31d0abd1,1.2465672323009935,103.48904104235449,SINGAPORE,,SGP
31da0489,1.2641955485599083,103.68451037880143,SINGAPORE,,SGP
31da1885,1.2807446999577807,103.90489235040268,SINGAPORE,,SGP
31d0abd5,1.25159720736769,103.49395501559785,SINGAPORE,,SGP
31da1d01,1.2110482472296029,103.77461534029919,SINGAPORE,,SGP
31da3b8d,1.3796851016233735,104.01690588076058,SINGAPORE,,SGP
31da2321,1.3103520248927665,103.96285109758207,SINGAPORE,,SGP
31da0439,1.2784245733864983,103.65693912950042,SINGAPORE,,SGP
31da08a1,1.331512309830017,103.61420732208524,SINGAPORE,,SGP
31da22fb,1.2954824804715368,103.95214624784964,SINGAPORE,,SGP
31da3bbd,1.3750416777902246,104.03350871291283,SINGAPORE,,SGP
31da1ed5,1.2498449722865279,103.86640913025407,SINGAPORE,,SGP
31d9f875,1.1755969699713269,103.70325632777292,SINGAPORE,,SGP
31da3279,1.3262008607901437,104.23038862231975,SINGAPORE,,SGP
31da1921,1.2693339044383489,103.86574582045949,SINGAPORE,,SGP
31da3a53,1.3686307844464802,104.0567261536395,SINGAPORE,,SGP
31da187f,1.2908052295137382,103.91263914909247,SINGAPORE,,SGP
31da2323,1.3078270334399693,103.97136475850448,SINGAPORE,,SGP
31da3bf3,1.3840023575474361,104.01714492165429,SINGAPORE,,SGP
31da22df,1.3097328517019731,103.95870499150058,SINGAPORE,,SGP
31da1c31,1.2214336539006498,103.80717107033692,SINGAPORE,,SGP
31d9f819,1.1622467336187532,103.72109116169997,SINGAPORE,,SGP
31da1891,1.2772127420361086,103.8998814073378,SINGAPORE,,SGP
31da1da1,1.1969680451352813,103.77968189419515,SINGAPORE,,SGP
31da3ba9,1.3667681210358826,104.04580831406305,SINGAPORE,,SGP
31d0a9f5,1.2552947996213462,103.52345267070453,SINGAPORE,,SGP
31da0431,1.2825524442484804,103.65147191533322,SINGAPORE,,SGP
31da3023,1.3315073220493143,104.12501665379767,SINGAPORE,,SGP
31da1dc9,1.2056184273029447,103.79912876743882,SINGAPORE,,SGP
31da061b,1.3204166049865043,103.62171754821625,SINGAPORE,,SGP
31da0295,1.1938744791480405,103.7011487481561,SINGAPORE,,SGP
31da02a3,1.1840068748796539,103.70732484183654,SINGAPORE,,SGP
31d9f7d9,1.1751131763132447,103.76042793121727,SINGAPORE,,SGP
31da2fd3,1.3175713498193753,104.14370978504982,SINGAPORE,,SGP
31da2287,1.2915267313423144,103.92333383589613,SINGAPORE,,SGP
31da047d,1.2618344587737418,103.68255310406765,SINGAPORE,,SGP
31da3aa7,1.336660013412913,104.09714922600774,SINGAPORE,,SGP
31da0613,1.3115196839040266,103.62081091149999,SINGAPORE,,SGP
31da2327,1.3131934984291533,103.9620360983017,SINGAPORE,,SGP
31da2fd1,1.3177514935933816,104.13798359176482,SINGAPORE,,SGP
31da233d,1.3079915282537011,103.97356289683042,SINGAPORE,,SGP
31da0437,1.2820640101671854,103.65712707506046,SINGAPORE,,SGP
31da2303,1.2953662918908782,103.96380507446509,SINGAPORE,,SGP
31d0a963,1.2553858396834843,103.48261027450837,SINGAPORE,,SGP
31da22e5,1.299598164323124,103.95171085935365,SINGAPORE,,SGP
31da0619,1.3211036391719473,103.61769010606987,SINGAPORE,,SGP
31d9f7dd,1.1713914827278467,103.7547357529993,SINGAPORE,,SGP
31da0297,1.1885805983042257,103.70220557002924,SINGAPORE,,SGP
31da0463,1.2625788393516622,103.68189402789251,SINGAPORE,,SGP
31da0617,1.315676201310888,103.61781511326203,SINGAPORE,,SGP
31da0611,1.3159841219248838,103.62109642125444,SINGAPORE,,SGP
31da3009,1.3365113421780817,104.10307662603292,SINGAPORE,,SGP
31da048f,1.2622720024354572,103.68963484237948,SINGAPORE,,SGP
31d9f81d,1.1651360062998326,103.72437323123694,SINGAPORE,,SGP
31da3b99,1.3700135871629022,104.02773865038249,SINGAPORE,,SGP
31da1cd5,1.2166237380729301,103.73133772220334,SINGAPORE,,SGP
31da043b,1.2782539421227201,103.65096256010077,SINGAPORE,,SGP
31da22d9,1.3125731145551616,103.96040985978983,SINGAPORE,,SGP
31d9f78b,1.1568135330559872,103.73065918668968,SINGAPORE,,SGP
31da3b91,1.3749716700682988,104.02221740021818,SINGAPORE,,SGP
31d9f81b,1.1653378550945377,103.71992819882675,SINGAPORE,,SGP
31d9f821,1.1575151564473347,103.72664608057981,SINGAPORE,,SGP
31da1d63,1.1801579198581089,103.7600973072695,SINGAPORE,,SGP
31da2263,1.2863127902077645,103.92887577791322,SINGAPORE,,SGP
31d9f80b,1.1752826880832972,103.70867839844067,SINGAPORE,,SGP
31d0abd3,1.2465374670026692,103.4937936048082,SINGAPORE,,SGP
31da032b,1.2172028666190458,103.72591627681166,SINGAPORE,,SGP
31d9f80f,1.1705377167538789,103.71474029867295,SINGAPORE,,SGP
31da0449,1.2833488012347705,103.66268775768083,SINGAPORE,,SGP
31da192b,1.2542352252330795,103.8652843521423,SINGAPORE,,SGP
31da066b,1.3066464806432905,103.61655560467186,SINGAPORE,,SGP
31da1db7,1.2082843991993302,103.79673123265437,SINGAPORE,,SGP
31da22e9,1.3029571738879495,103.94690607093112,SINGAPORE,,SGP
31da029d,1.1805556524803347,103.69742196180916,SINGAPORE,,SGP
31da1c49,1.2230327697275174,103.797663566811,SINGAPORE,,SGP
31da049f,1.2526460883408939,103.70379575021619,SINGAPORE,,SGP
31da0291,1.1894581307119949,103.69735210886139,SINGAPORE,,SGP
31da227d,1.2863571455745824,103.92337859596286,SINGAPORE,,SGP
31da1db5,1.2106343922201095,103.7938789613162,SINGAPORE,,SGP
31da1c35,1.2182155646157229,103.80318002831753,SINGAPORE,,SGP
31da3bbb,1.3740993045397027,104.03875828392823,SINGAPORE,,SGP
31da22fd,1.2954489539599,103.95790945677845,SINGAPORE,,SGP
31da0487,1.2606795697445443,103.68400751861053,SINGAPORE,,SGP
31da22e7,1.3035081454875579,103.95180097677311,SINGAPORE,,SGP
46524d4f,55.7459717192993,12.641664633812017,COPENHAGEN,COPENHAGEN OFFSHORE,DNK
46524d49,55.750285304494561,12.644773063832664,COPENHAGEN,COPENHAGEN OFFSHORE,DNK
0c40be13,28.089921689120384,-15.387380944220743,LAS PALMAS,LAS PALMAS OFFSHORE,ESP
0c40be0b,28.07933021243332,-15.386663060829395,LAS PALMAS,LAS PALMAS OFFSHORE,ESP
0c40bfeb,28.146954802209212,-15.387692737267928,LAS PALMAS,LAS PALMAS OFFSHORE,ESP
0c40be09,28.078027756864074,-15.393302383745985,LAS PALMAS,LAS PALMAS OFFSHORE,ESP
0c40be15,28.095656477765132,-15.387583023358474,LAS PALMAS,LAS PALMAS OFFSHORE,ESP
0c40bfed,28.151721572496914,-15.387919410241533,LAS PALMAS,LAS PALMAS OFFSHORE,ESP
0c40bfc5,28.134948363308013,-15.392631711143819,LAS PALMAS,LAS PALMAS OFFSHORE,ESP
0c40bfcf,28.129622023803019,-15.392928008197121,LAS PALMAS,LAS PALMAS OFFSHORE,ESP
0c40be0f,28.083980557514458,-15.392348981807311,LAS PALMAS,LAS PALMAS OFFSHORE,ESP
0c40be0d,28.084470319378095,-15.38681496569067,LAS PALMAS,LAS PALMAS OFFSHORE,ESP
0c40bfc7,28.13557679279354,-15.387561940018188,LAS PALMAS,LAS PALMAS OFFSHORE,ESP
0c40be17,28.095898628069335,-15.391843269580072,LAS PALMAS,LAS PALMAS OFFSHORE,ESP
0c40be3b,28.105480349262272,-15.393261611648832,LAS PALMAS,LAS PALMAS OFFSHORE,ESP
0c40be3f,28.100367339216454,-15.387454166299497,LAS PALMAS,LAS PALMAS OFFSHORE,ESP
0c40be11,28.088474412694552,-15.392206872566696,LAS PALMAS,LAS PALMAS OFFSHORE,ESP
0c40bff1,28.157671285970412,-15.391275450351245,LAS PALMAS,LAS PALMAS OFFSHORE,ESP
0c40bfcd,28.124250231185343,-15.393240497217949,LAS PALMAS,LAS PALMAS OFFSHORE,ESP
0c40be3d,28.100106328623411,-15.392774753453141,LAS PALMAS,LAS PALMAS OFFSHORE,ESP
0c40bfe9,28.146230875488925,-15.391907114206733,LAS PALMAS,LAS PALMAS OFFSHORE,ESP
0c40bfc3,28.140670707713387,-15.392426085353167,LAS PALMAS,LAS PALMAS OFFSHORE,ESP
0c40bfef,28.151844529215424,-15.39122882954144,LAS PALMAS,LAS PALMAS OFFSHORE,ESP
0c40bfc1,28.140840173312942,-15.38773037663584,LAS PALMAS,LAS PALMAS OFFSHORE,ESP
0ea1b407,20.902228668711963,-17.003544497828887,NOUADHIBOU,NOUADHIBOU NEARSHORE,MRT
0ea1b401,20.896470246535532,-17.003765213153354,NOUADHIBOU,NOUADHIBOU NEARSHORE,MRT
0ea1b40f,20.908469616402495,-16.99793167282176,NOUADHIBOU,NOUADHIBOU NEARSHORE,MRT
0ea1b155,20.890774156944662,-17.009049804700648,NOUADHIBOU,NOUADHIBOU NEARSHORE,MRT
0ea1b405,20.902548495487327,-16.997921438471945,NOUADHIBOU,NOUADHIBOU NEARSHORE,MRT
0ea1b153,20.88504652239682,-17.00892219200875,NOUADHIBOU,NOUADHIBOU NEARSHORE,MRT
0ea1b3ff,20.896319465804943,-17.008756495099103,NOUADHIBOU,NOUADHIBOU NEARSHORE,MRT
5fb13d8f,42.783633915129478,132.98433257578307,VOSTOCHNYY,,RUS
5fb13d09,42.763638181398228,132.98079564201905,VOSTOCHNYY,,RUS
5fb13d97,42.776458735972952,132.97319861107849,VOSTOCHNYY,,RUS
5fb13d93,42.78335396863767,132.97732098872754,VOSTOCHNYY,,RUS
5fb13da5,42.769124957475434,132.96926930925991,VOSTOCHNYY,,RUS
5fb13da7,42.766529789037413,132.97473329277784,VOSTOCHNYY,,RUS
5fb13dbd,42.774633479669674,132.96796761033647,VOSTOCHNYY,,RUS
5fb13d99,42.773969080572805,132.9786477594516,VOSTOCHNYY,,RUS
5fb13da3,42.771965929363596,132.9755232675588,VOSTOCHNYY,,RUS
5fb13d9f,42.771884684351143,132.98293678216416,VOSTOCHNYY,,RUS
5fb13d05,42.758543249670211,132.98041803050816,VOSTOCHNYY,,RUS
5fb13da1,42.769837404355918,132.97924582201986,VOSTOCHNYY,,RUS
5fb13d07,42.760954941538159,132.97511819679627,VOSTOCHNYY,,RUS
1c76f0f9,-22.849674417414743,14.510782784914896,WALVIS BAY,WALVIS BAY OFFSHORE,NAM
1c76f01b,-22.892957126521754,14.486098053376647,WALVIS BAY,WALVIS BAY OFFSHORE,NAM
1c76f00b,-22.88215895811982,14.475331440610477,WALVIS BAY,WALVIS BAY OFFSHORE,NAM
1c76fabb,-22.888419498452642,14.458762553222716,WALVIS BAY,WALVIS BAY OFFSHORE,NAM
1c76f0d1,-22.815035977236452,14.510662169793692,WALVIS BAY,WALVIS BAY OFFSHORE,NAM
1c76f075,-22.876618040952625,14.475199441657541,WALVIS BAY,WALVIS BAY OFFSHORE,NAM
1c76fabd,-22.884356456795729,14.458171686119268,WALVIS BAY,WALVIS BAY OFFSHORE,NAM
1c76fa83,-22.865663289956871,14.469401828009326,WALVIS BAY,WALVIS BAY OFFSHORE,NAM
1c76f071,-22.870906519791145,14.480861211669332,WALVIS BAY,WALVIS BAY OFFSHORE,NAM
1c76f013,-22.881510601431675,14.486088324204248,WALVIS BAY,WALVIS BAY OFFSHORE,NAM
1c76f0fd,-22.843964785083276,14.514444543712189,WALVIS BAY,WALVIS BAY OFFSHORE,NAM
1c76faa7,-22.889027135322436,14.469483594394218,WALVIS BAY,WALVIS BAY OFFSHORE,NAM
1c76f06d,-22.876631782297082,14.485966810386076,WALVIS BAY,WALVIS BAY OFFSHORE,NAM
1c76fa99,-22.87794231936963,14.463595684391578,WALVIS BAY,WALVIS BAY OFFSHORE,NAM
1c76f0dd,-22.827240341724458,14.510985357266001,WALVIS BAY,WALVIS BAY OFFSHORE,NAM
1c76faa5,-22.889057232494295,14.463426983570944,WALVIS BAY,WALVIS BAY OFFSHORE,NAM
1c76faa9,-22.894721665780807,14.469409596659119,WALVIS BAY,WALVIS BAY OFFSHORE,NAM
1c76f0db,-22.82138909795604,14.510662373961388,WALVIS BAY,WALVIS BAY OFFSHORE,NAM
1c76fa9d,-22.872521217608611,14.469247083007811,WALVIS BAY,WALVIS BAY OFFSHORE,NAM
1c76f0e5,-22.838619311450614,14.51047344112877,WALVIS BAY,WALVIS BAY OFFSHORE,NAM
1c76f0e9,-22.833463827646035,14.505451467592254,WALVIS BAY,WALVIS BAY OFFSHORE,NAM
1c76f005,-22.893561406263533,14.480909796032304,WALVIS BAY,WALVIS BAY OFFSHORE,NAM
1c76f0e1,-22.831563050082348,14.514974791149918,WALVIS BAY,WALVIS BAY OFFSHORE,NAM
1c76f0fb,-22.844257865961374,14.510370453799776,WALVIS BAY,WALVIS BAY OFFSHORE,NAM
1c76fa97,-22.87772587184655,14.458788374973636,WALVIS BAY,WALVIS BAY OFFSHORE,NAM
