iso3,label,sublabel,latitude,longitude
GRC,NAVPLIO,,37.566666999999995,22.8
GRC,AYIOS NIKOLAOS,,37.983333,23.533333
GRC,PIRAIEVS,,37.933333000000005,23.65
GRC,LAVRIO,,37.7,24.066667000000002
GRC,KAVALA,,40.933333000000005,24.4
IRN,BANDAR-E SHAHID REAJIE,,27.1,56.066667
IRN,BANDAR ABBAS,,27.15,56.2
POL,PORT POLNOCHNY,,54.4,18.716667
POL,GDYNIA,,54.533333,18.55
URY,MONTEVIDEO,,-34.9,-56.216667
GTM,PUERTO QUETZAL,,13.916667000000002,-90.8
DNK,RUDKOBING,,54.95,10.716667
SDN,PORT SUDAN,,19.6,37.233333
PRT,PORTO DE LEIXOES,,41.183333000000005,-8.7
PRT,SINES,,37.95,-8.866667
AUS,PORT LINCOLN,,-34.716667,135.85
AUS,ESPERANCE,,-33.866667,121.9
AUS,BUNBURY,,-33.316666999999995,115.63333300000001
AUS,FREMANTLE,,-32.05,115.75
AUS,GERALDTON,,-28.783333000000002,114.6
AUS,DAMPIER,,-20.633333,116.71666699999999
AUS,WHYALLA,,-33.033333,137.583333
AUS,NEWCASTLE,,-32.916667,151.783333
AUS,PORT KEMBLA,,-34.483333,150.916667
AUS,EDEN,,-37.066666999999995,149.916667
AUS,WARRNAMBOOL,,-38.4,142.48333300000002
AUS,PORTLAND,,-38.333333,141.6
AUS,KINGSCOTE,,-35.633333,137.633333
AUS,TOWNSVILLE,,-19.266667,146.816667
AUS,MACKAY,,-21.116667,149.216667
,LUDERITZ BAY,,-26.65,15.15
GBR,DOUGLAS,,54.15,-4.466667
GBR,RAMSEY,,54.316667,-4.366667
CPV,PORTO DA PRAIA,,14.916667000000002,-23.516667
CUB,MARIEL,,22.983333,-82.75
CUB,BAHAI DE LA HABANA,,23.133333,-82.366667
CUB,CAYO MOA GRANDE,,20.666667,-74.9
IRL,ROSSLARE,,52.25,-6.3333330000000005
IRL,DUBLIN,,53.35,-6.25
TUN,LA GOULETTE,,36.8,10.3
TUN,BANZART,,37.283333,9.883333
TUN,MERSA SFAX,,34.733333,10.766667
TUN,SOUSSE,,35.833333,10.65
TUN,GABES,,33.9,10.116667
TUN,ZARZIS,,33.5,11.116667
TUN,RADES,,36.816666999999995,10.3
TUN,TABARKA,,36.966667,8.766667
ABW,PAARDEN BAAI - (ORANJESTAD),,12.516667,-70.033333
ABW,SINT NICOLAAS BAAI,,12.433333,-69.916667
ITA,TORRE ANNUNZIATA,,40.75,14.45
ITA,CASTELLAMMARE DI STABIA,,40.7,14.483332999999998
ITA,SALERNO,,40.666667,14.75
ITA,VIBO VALENTIA MARINA,,38.716667,16.133333
ITA,REGGIO DI CALABRIA,,38.116667,15.65
ITA,PORTOVECCHIO DI PIOMBINO,,42.933333000000005,10.55
ITA,PORTO SANTO STEFANO,,42.433333000000005,11.116667
ITA,CIVITAVECCHIA,,42.1,11.783333
ITA,ANZIO,,41.45,12.633333
ITA,GAETA,,41.2,13.583332999999998
ITA,POZZUOLI,,40.816666999999995,14.116667000000001
ITA,NAPOLI,,40.85,14.266667000000002
SWE,STROMSTAD,,58.933333,11.166667
SWE,LYSEKIL,,58.266667000000005,11.433333
SWE,VARBERG,,57.11666700000001,12.25
SWE,FALKENBERG,,56.9,12.5
SWE,HALMSTAD,,56.666667000000004,12.866667
SWE,HOGANAS,,56.2,12.55
SWE,HELSINGBORG,,56.05,12.7
SWE,MALMO,,55.61666700000001,13.0
SWE,LIMHAMN,,55.583332999999996,12.933333
SWE,TRELLEBORG,,55.36666700000001,13.15
SWE,YSTAD,,55.433333,13.833332999999998
SWE,KARLSKRONA,,56.166667000000004,15.6
SWE,KALMAR,,56.666667000000004,16.366667
FRA,PORT-VENDRES,,42.516667,3.1166669999999996
FRA,SETE,,43.4,3.7
FRA,FOS,,43.416667,4.883333
FRA,PORT-DE-BOUC,,43.4,4.983333
FRA,MARSEILLE,,43.316666999999995,5.366667
FRA,SAINT-TROPEZ,,43.266667,6.633333
FRA,SAINT-RAPHAEL,,43.416667,6.766667
FRA,ANTIBES,,43.583333,7.133333
FRA,NICE,,43.7,7.283333
FRA,VILLEFRANCHE,,43.7,7.316667
FRA,TOULON,,43.1,5.9166669999999995
REU,PORT EST,,-20.933332999999998,55.316667
REU,PORT OUEST,,-20.933332999999998,55.283333
CAN,GODERICH,,43.75,-81.733333
CAN,PORT ELGIN,,44.433333000000005,-81.4
CAN,SOUTHAMPTON,,44.5,-81.383333
CAN,LIONS HEAD,,44.983333,-81.25
CAN,MEAFORD,,44.616667,-80.6
CAN,THORNBURY,,44.566666999999995,-80.45
CAN,COLLINGWOOD,,44.5,-80.233333
CAN,THESSALON,,46.25,-83.56666700000001
ESP,ROTA,,36.616667,-6.3333330000000005
ESP,CADIZ,,36.533333,-6.3
ESP,ALGECIRAS,,36.133333,-5.433333
MYS,KUANTAN NEW PORT,,3.9666669999999997,103.43333299999999
LKA,COLOMBO,,6.95,79.85
LKA,GALLE HARBOR,,6.016667,80.216667
ISL,REYKJAVIK,,64.15,-21.933332999999998
ISL,GRUNDARTANGI,,64.266667,-22.0
ISL,BOLUNGAVIK,,66.166667,-23.233333
TUR,ALIAGA,,38.833333,26.933333
EGY,DAMIETTA,,31.483333000000002,31.75
EGY,MERSA MATRUH,,31.35,27.233333000000002
EGY,EL MAADIYA,,31.266666999999998,30.15
EGY,AL ISKANDARIYH (ALEXANDRIA),,31.166666999999997,29.833333000000003
YEM,AL MUKALLA,,14.516667000000002,49.116667
DNK,RINGKOBING,,56.083332999999996,8.25
DNK,THYBORON,,56.7,8.216667
DNK,ABENRA,,55.05,9.433333
DNK,HORSENS,,55.86666700000001,9.85
DNK,ARHUS,,56.15,10.216667
DNK,GRENAA HAVN,,56.416667000000004,10.933333
DNK,FREDERIKSHAVN,,57.433333,10.55
DNK,SKAGEN HAVN,,57.716667,10.6
DNK,HIRTSHALS,,57.6,9.966667
DNK,HANSTHOLM,,57.13333299999999,8.6
DNK,LEMVIG,,56.583332999999996,8.283333
DNK,HOLSTEBRO-STUER,,56.5,8.583333
DNK,THISTED,,56.95,8.7
USA,BUFFALO,,42.883333,-78.883333
USA,DUNKIRK,,42.483333,-79.333333
USA,CLEVELAND,,41.5,-81.716667
CRI,PUERTO MOIN,,10.0,-83.083333
CRI,PUERTO LIMON,,9.983333,-83.016667
PRI,ARECIBO,,18.483333,-66.7
PRI,BAHIA DE FAJARDO,,18.333333,-65.633333
PRI,ENSENADA HONDA,,18.233333,-65.633333
PRI,BAHIA DE JOBOS,,17.95,-66.18333299999999
PRI,PLAYA DE PONCE,,17.983333,-66.616667
PRI,PLAYA DE GUAYANILLA,,18.016667,-66.766667
GRC,IRAKLION,,35.35,25.15
GRC,RETHIMNON,,35.366667,24.466667
TUR,MERSIN,,36.8,34.633333
TUR,ISKENDERUN,,36.6,36.166667
TUR,ANTALYA,,36.833333,30.616667
TUR,TASUCU,,36.316666999999995,33.883333
TUR,HOPA,,41.416667,41.4
TUR,RIZE,,41.066666999999995,40.516667
TUR,TRABZON,,41.016667,39.766667
TUR,GIRESUN,,40.933333000000005,38.4
TUR,SAMSUN,,41.3,36.35
TUR,INEBOLU,,41.983333,33.766667
TUR,ZONGULDAK,,41.466667,31.816667
TUR,EREGLI,,41.3,31.45
TUR,HAYDARPASA,,41.0,29.016666999999998
TUR,DERINCE BURNU,,40.75,29.816667
TUR,GOLCUK BURNU,,40.733333,29.816667
TUR,BANDIRMA,,40.35,27.966666999999998
TUR,NEMRUT LIMANI BAY,,38.766667,26.916666999999997
TUR,MARMARIS,,36.85,28.283333000000002
TUR,FETHIYE,,36.633333,29.1
TUR,YAKACIK,,36.716667,36.183333000000005
TUR,GULLUK,,37.25,27.616667
VUT,PORT VILA,,-17.733333,168.316667
CAN,SOURIS HARBOUR,,46.35,-62.25
EGY,BUR SAFAGA,,26.733333000000002,33.95
EGY,AS SUWAYS,,29.966666999999998,32.55
EGY,NORTH AIN SUKHNA PORT,,29.65,32.366667
EGY,SOKHNA PORT GAS TANKER TERMINAL,,29.683333,32.366667
IDN,SABANG,,5.883333,95.31666700000001
COL,PUERTO BOLIVAR,,12.25,-71.966667
MEX,GUAYMAS,,27.916666999999997,-110.91666699999999
MEX,SANTA ROSALIA,,27.333333000000003,-112.28333300000001
MEX,ENSENADA,,31.866667,-116.63333300000001
MEX,MANZANILLO,,19.05,-104.31666700000001
MEX,SALINA CRUZ,,16.166667,-95.2
MEX,PICHILINGUE,,24.266667,-110.33333300000001
DNK,MARSTAL,,54.916667000000004,10.333333
DNK,AEROSKOBING,,54.88333299999999,10.416667
THA,LAEM CHABANG,,13.083333,100.883333
THA,MAP TA PHUT,,12.666667,101.166667
THA,SATTAHIP,,12.616667,100.916667
MNE,RISAN,,42.516667,18.7
MNE,TIVAT,,42.433333000000005,18.7
MNE,BAR,,42.083333,19.083333
RUS,SANKT-PETERBURG,,59.933333,30.3
RUS,KRONSHTADT,,59.983332999999995,29.783333000000002
CYP,KYRENIA,,35.35,33.333333
CYP,LIMASSOL,,34.666667,33.05
CYP,LARNACA,,34.916667,33.65
CYP,FAMAGUSTA,,35.116667,33.933333000000005
PAN,PUERTO CRISTOBAL,,9.35,-79.916667
PAN,PUERTO COLON,,9.366667,-79.883333
DNK,NEKSO,,55.066667,15.133332999999999
DNK,RONNE,,55.1,14.7
DNK,HASLE,,55.183333,14.7
DNK,CHRISTIANSO HARBOR,,55.316667,15.183333
JAM,MONTEGO BAY,,18.466667,-77.93333299999999
MUS,PORT LOUIS,,-20.15,57.5
MYS,BINTULU PORT,,3.266667,113.066667
LBR,MONROVIA,,6.316667,-10.816667
LBR,BUCHANAN,,5.866667,-10.066667
OMN,MINA RAYSUT,,16.933332999999998,54.016667000000005
OMN,MINA QABUS,,23.633333,58.583332999999996
OMN,PORT OF SOHAR,,24.516667,56.63333299999999
GBR,LOWESTOFT,,52.483332999999995,1.75
GBR,BRIDLINGTON,,54.083332999999996,-0.183333
